title,description,category,severity,time_remaining_hours,location_lat,location_lng,location_name,skills_required
Emergency Insulin Supply,Critical shortage of insulin at flood relief camp affecting 200 diabetic patients,medical,9.5,12,28.6139,77.2090,Delhi Flood Camp,"[""medical"",""first-aid"",""logistics""]"
Mass Food Distribution,3500 displaced persons need emergency meals — supplies running out,food,8.0,24,19.0760,72.8777,Mumbai Dharavi Shelter,"[""cooking"",""logistics"",""driving""]"
Rescue Boat Operations,Families stranded on rooftops during flooding — water level rising,rescue,9.8,6,23.0225,72.5714,Ahmedabad East District,"[""swimming"",""rescue"",""driving""]"
Temporary Shelter Setup,800 families need waterproof tents before monsoon rains,shelter,7.5,48,22.5726,88.3639,Kolkata Outskirts,"[""construction"",""logistics""]"
Clean Water Distribution,Contaminated water supply affecting 2000 people in flood zone,water,8.5,18,13.0827,80.2707,Chennai North Zone,"[""logistics"",""driving""]"
Child Vaccination Drive,30 children have missed critical scheduled vaccines post-disaster,medical,7.0,72,17.3850,78.4867,Hyderabad Rural Block,"[""medical"",""nursing""]"
Elderly Care Support,150 elderly persons need mobility assistance and medicines,care,6.5,96,12.9716,77.5946,Bangalore East,"[""care"",""nursing"",""first-aid""]"
Emergency Counseling,200 trauma victims from building collapse need psychological support,mental-health,6.0,48,28.7041,77.1025,Delhi Trauma Center,"[""counseling"",""psychology""]"
Debris Clearance,Key road blocked by collapsed structure cutting off 5 villages,infrastructure,7.0,36,18.5204,73.8567,Pune Highway Block,"[""construction"",""driving"",""logistics""]"
School Reopening Support,Flood-damaged school needs volunteers to restore before term starts,education,5.5,120,26.9124,75.7873,Jaipur District School,"[""teaching"",""construction""]"
Mobile Medical Unit,Remote village 80km from hospital — ambulance cannot access,medical,9.0,8,25.3176,82.9739,Varanasi Remote Village,"[""medical"",""driving"",""first-aid""]"
Generator Fuel Supply,Hospital backup power has 4 hours of fuel left — ICU at risk,infrastructure,9.9,4,21.1458,79.0882,Nagpur City Hospital,"[""logistics"",""driving""]"
Animal Rescue Operations,Livestock stranded in rising floodwaters — 3 villages affected,animal-care,5.0,60,23.2599,77.4126,Bhopal River Zone,"[""animal-care"",""rescue""]"
Legal Aid Camp,100 families losing critical documents in disaster — need assistance,legal,6.0,96,26.8467,80.9462,Lucknow Relief Camp,"[""legal"",""documentation""]"
Firefighting Support,Forest fire threatening 5 villages — local team overwhelmed,rescue,9.7,3,30.7333,76.7794,Chandigarh Forest Edge,"[""rescue"",""driving"",""first-aid""]"
